"FUNC_ID","NMSPC_CD","NM","DESC_TXT","RTRN_TYP","TYP_ID","ACTV","VER_NBR"
"KC1066","KC-PROTOCOL","isOrganizationChangedInAmendmentOrRenewal","Check protocol organization has changed during amendment/renewal","java.lang.Boolean","KC1007","Y",1
"KC1067","KC-PROTOCOL","isProtocolRenewalWithAmendment","Check protocol has renewal with amendment","java.lang.Boolean","KC1007","Y",1
"KC1068","KC-IACUC","allProtocols","True for all protocols","java.lang.Boolean","KC1008","Y",1
"KC1069","KC-IACUC","isProtocolAmendment","Is Protocol an amendment","java.lang.Boolean","KC1008","Y",1
"KC1070","KC-IACUC","isProtocolRenewal","Is Protocol a renewal","java.lang.Boolean","KC1008","Y",1
"KC1071","KC-IACUC","isProtocolLeadUnitBelow","Check Protocol leadunit below passed in unit","java.lang.Boolean","KC1008","Y",1
"KC1072","KC-IACUC","hasProtocolContainsOrganization","Check Protocol organization with passed in organization","java.lang.Boolean","KC1008","Y",1
"KC1073","KC-IACUC","hasFundingSourceContainsSponsor","Check Protocol organization with passed in organization","java.lang.Boolean","KC1008","Y",1
"KC1074","KC-IACUC","hasFundingSourceContainsUnit","Check Protocol unit with passed in unit number","java.lang.Boolean","KC1008","Y",1
"KC1075","KC-IACUC","hasProtocolContainsAreaOfResearch","Check Protocol area of research with passed in area of research","java.lang.Boolean","KC1008","Y",1
"KC1076","KC-IACUC","isSubmitUserProtocolPi","Check protocol pi with passed in user id","java.lang.Boolean","KC1008","Y",1
"KC1077","KC-IACUC","isLeadUnitProtocolCampus","Check protocol lead unit with passed in campus code","java.lang.Boolean","KC1008","Y",1
"KC1078","KC-IACUC","hasProtocolContainsDocumentType","Check protocol contains passed in document type","java.lang.Boolean","KC1008","Y",1
"KC1079","KC-IACUC","isProtocolInSubmission","Check protocol submissions contains passed in submission type","java.lang.Boolean","KC1008","Y",1
"KC1080","KC-IACUC","hasProtocolContainsNotifySubmissionQualifierType","Check Protocol has notify submission qualifier type","java.lang.Boolean","KC1008","Y",1
"KC1081","KC-IACUC","hasSubmissionType","Check Protocol has notify submission qualifier type","java.lang.Boolean","KC1008","Y",1
"KC1082","KC-IACUC","isPINotFaculty","Is Protocol PI not a faculty","java.lang.Boolean","KC1008","Y",1
"KC1083","KC-IACUC","isSpecialReviewExists","Check Protocol has any special reviews","java.lang.Boolean","KC1008","Y",1
"KC1084","KC-IACUC","hasAllPersonsCompletedTraining","Check all protocol persons have completed training","java.lang.Boolean","KC1008","Y",1
"KC1085","KC-IACUC","isPiChangedInAmendmentOrRenewal","Check protocol pi has changed during amendment/renewal","java.lang.Boolean","KC1008","Y",1
"KC1086","KC-IACUC","isOrganizationChangedInAmendmentOrRenewal","Check protocol organization has changed during amendment/renewal","java.lang.Boolean","KC1008","Y",1
"KC1087","KC-IACUC","isProtocolRenewalWithAmendment","Check protocol has renewal with amendment","java.lang.Boolean","KC1008","Y",1
"KC1088","KC-PROTOCOL","hasProtocolContainsSubjectType","Check Protocol has passed in Subject Type","java.lang.Boolean","KC1007","Y",1
