"ROLE_ID","ROLE_NM","NMSPC_CD","DESC_TXT","KIM_TYP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"KC131","OSP Administrator","KC-ADM","OSP Administrator","KC69","Y","AA3F29ECA85777DAE040DC0A1F8A01CC","1"
"KC132","PI","KC-WKFLW","Proposal Primary Investigator","KC70","Y","AA3F29ECA85877DAE040DC0A1F8A01CC","1"
"KC133","COI","KC-WKFLW","Proposal Co-Investigator","KC71","Y","AA3F29ECA85977DAE040DC0A1F8A01CC","1"
"KC134","DepartmentReviewer","KC-WKFLW","Proposal Departmental Reviewer","KC72","Y","AA3F29ECA85A77DAE040DC0A1F8A01CC","1"
"KC135","CustomReviewer","KC-WKFLW","Proposal Custom Reviewer","KC72","Y","AA3F29ECA85B77DAE040DC0A1F8A01CC","1"
"KC136","KP","KC-WKFLW","Proposal Key Persons","KC72","Y","AA3F29ECA85C77DAE040DC0A1F8A01CC","1"
"KC137","Proposal Log PI","KC-IP","Derived role from PI on Proposal Log","KC80","Y","AA3F29ECA85D77DAE040DC0A1F8A01CC","1"
"KC138","Unit Administrator","KC-WKFLW","Derived role based on Unit","KC81","Y","AA3F29ECA85E77DAE040DC0A1F8A01CC","1"
"KC139","Create Temporary Proposal Log","KC-IP","Create Temporary Proposal Log","KC69","Y","AA3F29ECA85F77DAE040DC0A1F8A01CC","1"
"KC140","Create Proposal Log","KC-IP","Create Proposal Log","KC69","Y","AA3F29ECA86077DAE040DC0A1F8A01CC","1"
"KC141","Modify Proposal Log","KC-IP","Modify Proposal Log","KC69","Y","AA3F29ECA86177DAE040DC0A1F8A01CC","1"
"KC142","View Proposal Log","KC-IP","View Proposal Log","KC69","Y","AA3F29ECA86277DAE040DC0A1F8A01CC","1"
"KC143","IRB Online Reviewer","KC-PROTOCOL","Online Reviewers","KC82","Y","AA3F29ECA86377DAE040DC0A1F8A01CC","1"
"KC148","Protocol Unassigned","KC-PROTOCOL","Protocol Unassigned - no permissions","KC68","Y","AA3F29ECA86477DAE040DC0A1F8A01CC","1"
"KC149","ProtocolApprover","KC-PROTOCOL","This role exists primarily to grant implicit Cancel permission to Protocol Aggregators and Admins","KC83","Y","AA3F29ECA86577DAE040DC0A1F8A01CC","1"
"KC150","Active Committee Member","KC-PROTOCOL","Role members are derived from active committee members on the systems current date.","KC84","Y","AA3F29ECA86677DAE040DC0A1F8A01CC","1"
"KC151","Active Committee Member On Scheduled Date","KC-PROTOCOL","Role members are derived from the active committee members on a particular schedule date.","KC85","Y","AA3F29ECA86777DAE040DC0A1F8A01CC","1"
"KC153","Time And Money Viewer","KC-T","View Time And Money Document","KC69","Y","AA3F2ECC2851ADD5E040DC0A1F8A01F1","1"
"KC154","Time And Money Modifier","KC-T","Modify Time And Money Document","KC69","Y","AA3F2ECC2852ADD5E040DC0A1F8A01F1","1"
"KC155","Delete Proposal","KC-PD","Delete Proposal Permission","KC68","Y","AA3F2F383612EFB5E040DC0A1F8A01FB","1"
"KC156","Modify all Protocols","KC-UNT","Modify all Protocols","KC69","Y","AA3F2F5F1BED0D45E040DC0A1F8A0205","1"
"KC157","Funding Source Monitor","KC-UNT","Funding Source Monitor","KC69","Y","AAE016CCF8AB5107E040DC0A1F8A7C64","1"
"KC158","Active Committee Member On Protocol","KC-PROTOCOL","Role members are derived from active committee members on the protocol.","KC86","Y","AAE016CCF8B35107E040DC0A1F8A7C64","1"
"KC159","Maintain Questionnaire","KC-QUESTIONNAIRE","Grants the ability to maintain questionnaire.","1","Y","AAE016CCF8B55107E040DC0A1F8A7C64","1"
"KC160","Maintain IRB Questionnaire","KC-PROTOCOL","Grants the ability to maintain irb questionnaires.","1","Y","AAE016CCF8B85107E040DC0A1F8A7C64","1"
"KC161","Maintain Proposal Questionnaire","KC-PD","Grants the ability to maintain proposal questionnaires.","1","Y","AAE016CCF8BC5107E040DC0A1F8A7C64","1"
"KC98","Manager","KC-SYS","This role represents a collection of all the KC module manager roles and has permission to initiate simple maintenance documents.","1","Y","AA3F29ECA83677DAE040DC0A1F8A01CC","1"
"KC99","IRBApprover","KC-WKFLW","IRB Approver","1","Y","AA3F29ECA83777DAE040DC0A1F8A01CC","1"
