"ENTITY_EMP_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID","OBJ_ID","VER_NBR"
"KC10015","KC10015","KC10015","A","P","Y","Y","000001","jckahler","1","AAE016CCF5EC5107E040DC0A1F8A7C64","1"
"KC10016","KC10016","KC10016","A","P","Y","Y","000001","byler","1","AAE016CCF5ED5107E040DC0A1F8A7C64","1"
"KC10017","KC10017","KC10017","A","P","Y","Y","000001","aemcafee","1","AAE016CCF5EE5107E040DC0A1F8A7C64","1"
"KC10018","KC10018","KC10018","A","P","Y","Y","000001","westfall","1","AAE016CCF5EF5107E040DC0A1F8A7C64","1"
"KC10019","KC10019","KC10019","A","P","Y","Y","000001","bbshankl","1","AAE016CCF5F05107E040DC0A1F8A7C64","1"
"KC10020","KC10020","KC10020","A","P","Y","Y","000001","ferland","1","AAE016CCF5F15107E040DC0A1F8A7C64","1"
"KC10021","KC10021","KC10021","A","P","Y","Y","000001","khcrabtr","1","AAE016CCF5F25107E040DC0A1F8A7C64","1"
"KC10022","KC10022","KC10022","A","P","Y","Y","000001","felker","1","AAE016CCF5F35107E040DC0A1F8A7C64","1"
"KC10023","KC10023","KC10023","A","P","Y","Y","000001","martin","1","AAE016CCF5F45107E040DC0A1F8A7C64","1"
"KC10024","KC10024","KC10024","A","P","Y","Y","000001","sterner","1","AAE016CCF5F55107E040DC0A1F8A7C64","1"
"KC10025","KC10025","KC10025","A","P","Y","Y","000001","chbayles","1","AAE016CCF5F65107E040DC0A1F8A7C64","1"
"KC10026","KC10026","KC10026","A","P","Y","Y","000001","tmkato","1","AAE016CCF5F75107E040DC0A1F8A7C64","1"
"KC10027","KC10027","KC10027","A","P","Y","Y","000001","cphovis","1","AAE016CCF5F85107E040DC0A1F8A7C64","1"
"KC10028","KC10028","KC10028","A","P","Y","Y","000001","rnmcinty","1","AAE016CCF5F95107E040DC0A1F8A7C64","1"
"KC10029","KC10029","KC10029","A","P","Y","Y","000001","eagle","1","AAE016CCF5FA5107E040DC0A1F8A7C64","1"
"KC10030","KC10030","KC10030","A","P","Y","Y","000001","mjpond","1","AAE016CCF5FB5107E040DC0A1F8A7C64","1"
"KC10031","KC10031","KC10031","A","P","Y","Y","000001","flaherty","1","AAE016CCF5FC5107E040DC0A1F8A7C64","1"
"KC10032","KC10032","KC10032","A","P","Y","Y","000001","mukoss","1","AAE016CCF5FD5107E040DC0A1F8A7C64","1"
"KC10033","KC10033","KC10033","A","P","Y","Y","000001","mceacher","1","AAE016CCF5FE5107E040DC0A1F8A7C64","1"
"KC10034","KC10034","KC10034","A","P","Y","Y","000001","wacuna","1","AAE016CCF5FF5107E040DC0A1F8A7C64","1"
"KC10035","KC10035","KC10035","A","P","Y","Y","000001","schulte","1","AAE016CCF6005107E040DC0A1F8A7C64","1"
"KC10036","KC10036","KC10036","A","P","Y","Y","000001","odevries","1","AAE016CCF6015107E040DC0A1F8A7C64","1"
"KC10037","KC10037","KC10037","A","P","Y","Y","000001","dxdevane","1","AAE016CCF6025107E040DC0A1F8A7C64","1"
"KC10038","KC10038","KC10038","A","P","Y","Y","000001","psmock","1","AAE016CCF6035107E040DC0A1F8A7C64","1"
"KC10039","KC10039","KC10039","A","P","Y","Y","000001","lvclinks","1","AAE016CCF6045107E040DC0A1F8A7C64","1"
"KC10040","KC10040","KC10040","A","P","Y","Y","000001","brunelle","1","AAE016CCF6055107E040DC0A1F8A7C64","1"
"KC10041","KC10041","KC10041","A","P","Y","Y","000001","cbernal","1","AAE016CCF6065107E040DC0A1F8A7C64","1"
"KC10042","KC10042","KC10042","A","P","Y","Y","000001","borst","1","AAE016CCF6075107E040DC0A1F8A7C64","1"
"KC10043","KC10043","KC10043","A","P","Y","Y","000001","wsoileau","1","AAE016CCF6085107E040DC0A1F8A7C64","1"
"KC10044","KC10044","KC10044","A","P","Y","Y","000001","burd","1","AAE016CCF6095107E040DC0A1F8A7C64","1"
"KC10045","KC10045","KC10045","A","P","Y","Y","000001","engel","1","AAE016CCF60A5107E040DC0A1F8A7C64","1"
"KC10046","KC10046","KC10046","A","P","Y","Y","000001","headley","1","AAE016CCF60B5107E040DC0A1F8A7C64","1"
"KC10047","KC10047","KC10047","A","P","Y","Y","000001","rpgailey","1","AAE016CCF60C5107E040DC0A1F8A7C64","1"
"KC10048","KC10048","KC10048","A","P","Y","Y","000001","shields","1","AAE016CCF60D5107E040DC0A1F8A7C64","1"
"KC10049","KC10049","KC10049","A","P","Y","Y","000001","elgin","1","AAE016CCF60E5107E040DC0A1F8A7C64","1"
"KC10050","KC10050","KC10050","A","P","Y","Y","000001","boman","1","AAE016CCF60F5107E040DC0A1F8A7C64","1"
"KC10051","KC10051","KC10051","A","P","Y","Y","000001","duggins","1","AAE016CCF6105107E040DC0A1F8A7C64","1"
"KC10052","KC10052","KC10052","A","P","Y","Y","000001","khowens","1","AAE016CCF6115107E040DC0A1F8A7C64","1"
"KC10053","KC10053","KC10053","A","P","Y","Y","000001","ndarr","1","AAE016CCF6125107E040DC0A1F8A7C64","1"
"KC10054","KC10054","KC10054","A","P","Y","Y","000001","cary","1","AAE016CCF6135107E040DC0A1F8A7C64","1"
"KC10055","KC10055","KC10055","A","P","Y","Y","000001","clmcbee","1","AAE016CCF6145107E040DC0A1F8A7C64","1"
"KC10056","KC10056","KC10056","A","P","Y","Y","000001","ralston","1","AAE016CCF6155107E040DC0A1F8A7C64","1"
"KC10057","KC10057","KC10057","A","P","Y","Y","000001","mwmartin","1","AAE016CCF6165107E040DC0A1F8A7C64","1"
"KC10058","KC10058","NULL","A","P","Y","Y","","rrabbit","1","AAE016CCF6175107E040DC0A1F8A7C64","1"
"KC10059","KC10059","NULL","A","P","Y","Y","000001","awdviewer","1","AAE016CCF6185107E040DC0A1F8A7C64","1"
"KC10060","KC10060","NULL","A","P","Y","Y","000001","awddocviewer","1","AAE016CCF6195107E040DC0A1F8A7C64","1"
"KC10061","KC10061","NULL","A","P","Y","Y","000001","awdbudviewer","1","AAE016CCF61A5107E040DC0A1F8A7C64","1"
"KC10062","KC10062","NULL","A","P","Y","Y","000001","ipviewer","1","AAE016CCF61B5107E040DC0A1F8A7C64","1"
"KC10063","KC10063","NULL","A","P","Y","Y","000001","aslusar","1","AAE016CCF61C5107E040DC0A1F8A7C64","1"
"KC10064","KC10064","NULL","A","P","Y","Y","000001","tdurkin","1","AAE016CCF61D5107E040DC0A1F8A7C64","1"
"KC10065","KC10065","NULL","A","P","Y","Y","000001","appadmin","1","AAE016CCF61E5107E040DC0A1F8A7C64","1"
"KC10066","KC10066","NULL","A","P","Y","Y","000001","awdbudapprover","1","AAE016CCF61F5107E040DC0A1F8A7C64","1"
"KC10067","KC10067","NULL","A","P","Y","Y","000001","awdmodifier","1","AAE016CCF6205107E040DC0A1F8A7C64","1"
"KC10068","KC10068","NULL","A","P","Y","Y","000001","awdbudadmin","1","AAE016CCF6215107E040DC0A1F8A7C64","1"
"KC10069","KC10069","NULL","A","P","Y","Y","000001","ospadmin","1","AAE016CCF6225107E040DC0A1F8A7C64","1"
"KC10070","KC10070","NULL","A","P","Y","Y","000001","awdbudaggregator","1","AAE016CCF6235107E040DC0A1F8A7C64","1"
"KC10071","KC10071","NULL","A","P","Y","Y","000001","awdbudmaintainer","1","AAE016CCF6245107E040DC0A1F8A7C64","1"
"KC10072","KC10072","NULL","A","P","Y","Y","000001","awddocmaintainer","1","AAE016CCF6255107E040DC0A1F8A7C64","1"
"KC10073","KC10073","NULL","A","P","Y","Y","000001","awdbudmodifier","1","AAE016CCF6265107E040DC0A1F8A7C64","1"
"KC10074","KC10074","NULL","A","P","Y","Y","000001","deptawdviewer","1","AAE016CCF6275107E040DC0A1F8A7C64","1"
"KC10075","KC10075","NULL","A","P","Y","Y","000001","tempviewer","1","AAE016CCF6285107E040DC0A1F8A7C64","1"
"KC10076","KC10076","NULL","A","P","Y","Y","000001","irbadmin","1","AAE016CCF6295107E040DC0A1F8A7C64","1"
"KC10077","KC10077","NULL","A","P","Y","Y","IN-CARD","irbadmin-card","1","AAE016CCF62A5107E040DC0A1F8A7C64","1"
"KC10078","KC10078","NULL","A","P","Y","Y","IN-CARD","irbaggregator","1","AAE016CCF62B5107E040DC0A1F8A7C64","1"
"KC10079","KC10079","NULL","A","P","Y","Y","IN-CARD","irbcreate","1","AAE016CCF62C5107E040DC0A1F8A7C64","1"
"KC10080","KC10080","NULL","A","P","Y","Y","IN-CARD","irbresearcher","1","AAE016CCF62D5107E040DC0A1F8A7C64","1"
"KC10081","KC10081","NULL","A","P","Y","Y","IN-CARD","irbreviewer","1","AAE016CCF62E5107E040DC0A1F8A7C64","1"
"KC10082","KC10082","NULL","A","P","Y","Y","IN-CARD","irbviewer","1","AAE016CCF62F5107E040DC0A1F8A7C64","1"
