"ROLE_MBR_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR","ACTV_FRM_DT","ACTV_TO_DT"
"KCoeus10058","KCoeus111","10000000008","P","D9EDD8E9CDCEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10059","KCoeus112","10000000002","P","D9EDD8E9CDD0C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10060","KCoeus115","10000000001","P","D9EDD8E9CDD3C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10061","KCoeus116","10000000005","P","D9EDD8E9CDD6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10062","KCoeus117","10000000001","P","D9EDD8E9CDD9C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10063","KCoeus118","10000000043","P","D9EDD8E9CDDCC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10064","KCoeus118","10000000064","P","D9EDD8E9CDDFC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10065","KCoeus122","10000000062","P","D9EDD8E9CDE2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10066","KCoeus123","10000000061","P","D9EDD8E9CDE5C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10067","KCoeus125","10000000001","P","D9EDD8E9CDE8C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10068","KCoeus126","10000000001","P","D9EDD8E9CDEBC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10069","KCoeus126","10000000001","P","D9EDD8E9CDEEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10070","KCoeus127","10000000002","P","D9EDD8E9CDF1C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10071","KCoeus127","10000000117","P","D9EDD8E9CDF4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10072","KCoeus128","10000000001","P","D9EDD8E9CDF7C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10073","KCoeus128","10000000112","P","D9EDD8E9CDFAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10074","KCoeus128","10000000113","P","D9EDD8E9CDFDC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10075","KCoeus129","10000000001","P","D9EDD8E9CE00C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10076","KCoeus129","10000000115","P","D9EDD8E9CE03C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10077","KCoeus129","10000000116","P","D9EDD8E9CE06C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10078","KCoeus130","10000000001","P","D9EDD8E9CE09C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10079","KCoeus130","10000000001","P","D9EDD8E9CE0CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10080","KCoeus130","10000000001","P","D9EDD8E9CE0FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10081","KCoeus131","10000000001","P","D9EDD8E9CE12C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10082","KCoeus131","10000000043","P","D9EDD8E9CE15C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10083","KCoeus134","10000000036","P","D9EDD8E9CE18C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10084","KCoeus135","10000000036","P","D9EDD8E9CE1AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10085","KCoeus140","10000000001","P","D9EDD8E9CE1BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10086","KCoeus140","10000000043","P","D9EDD8E9CE1EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10087","KCoeus141","10000000001","P","D9EDD8E9CE21C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10088","KCoeus141","10000000043","P","D9EDD8E9CE24C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10089","KCoeus149","10000000112","P","D9EDD8E9CE27C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10090","KCoeus149","10000000116","P","D9EDD8E9CE28C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10091","KCoeus154","10000000001","P","D9EDD8E9CE29C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10092","KCoeus155","10000000001","P","D9EDD8E9CE2CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10093","KCoeus156","10000000001","P","D9EDD8E9CE40C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10094","KCoeus156","10000000112","P","D9EDD8E9CE43C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10095","KCoeus10001","10000000043","P","D9EDD8E9CE46C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10096","KCoeus10002","10000000043","P","D9EDD8E9CE47C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10097","KCoeus163","10000000001","P","D9EDD8E9CE48C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10098","KCoeus164","10000000001","P","D9EDD8E9CE4BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10099","KCoeus1381","10000000001","P","D9EDD8E9CE4EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10100","KCoeus1383","10000000002","P","D9EDD8E9CE4FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10101","KCoeus1381","10000000119","P","D9EDD8E9CE59C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10102","KCoeus142","10000000119","P","D9EDD8E9CE5AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10103","KCoeus118","10000000119","P","D9EDD8E9CE5DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10104","KCoeus123","10000000119","P","D9EDD8E9CE60C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10105","KCoeus1410","10000000119","P","D9EDD8E9CE63C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10106","KCoeus1383","10000000120","P","D9EDD8E9CE6DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10107","KCoeus142","10000000120","P","D9EDD8E9CE6EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10108","KCoeus118","10000000120","P","D9EDD8E9CE71C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10109","KCoeus123","10000000120","P","D9EDD8E9CE74C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10110","KCoeus1410","10000000120","P","D9EDD8E9CE77C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10111","KCoeus1411","10000000001","P","D9EDD8E9CE78C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10112","KCoeus1410","10000000001","P","D9EDD8E9CE79C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10113","KCoeus163","10000000121","P","D9EDD8E9CE83C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10114","KCoeus1420","10000000123","P","D9EDD8E9CE98C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10115","KCoeus1425","10000000001","P","D9EDD8E9CE99C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10116","KCoeus1426","10000000001","P","D9EDD8E9CE9CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10117","KCoeus1428","10000000001","P","D9EDD8E9CE9DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10118","KCoeus1435","10000000001","P","D9EDD8E9CEA0C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10119","KCoeus1610","10000000001","P","D9EDD8E9CEA5C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10120","KCoeus1611","10000000001","P","D9EDD8E9CEA8C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10121","KCoeus164","10000000122","P","D9EDD8E9CEACC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10122","KCoeus1635","10010000","P","D9EDD8E9CEB5C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10123","KCoeus1635","KCoeus10001","P","D9EDD8E9CEBCC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10124","KCoeus1635","10003","P","D9EDD8E9CEC9C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10125","KCoeus1635","10006","P","D9EDD8E9CEDCC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10126","KCoeus1424","10004","P","D9EDD8E9CEDEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10127","KCoeus1424","KCoeus10001","P","D9EDD8E9CEE0C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10128","KCoeus1422","KCoeus10002","P","D9EDD8E9CEE2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10129","KCoeus1422","KCoeus10001","P","D9EDD8E9CEE4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10130","KCoeus1611","10003","P","D9EDD8E9CEE6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10131","KCoeus1610","10010000","P","D9EDD8E9CEE9C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10132","KCoeus1610","10006","P","D9EDD8E9CEECC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10133","KCoeus1421","KCoeus10001","P","D9EDD8E9CEEFC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10134","KCoeus1635","10000000001","P","D9EDD8E9CEF2C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10135","KCoeus1635","10000000002","P","D9EDD8E9CEF3C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10136","KCoeus1635","10000000004","P","D9EDD8E9CEF4C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10137","KCoeus1635","10000000005","P","D9EDD8E9CEF5C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10138","KCoeus1635","10000000006","P","D9EDD8E9CEF6C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10139","KCoeus1635","10000000007","P","D9EDD8E9CEF7C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10140","KCoeus1635","10000000022","P","D9EDD8E9CEF8C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10141","KCoeus1635","10000000112","P","D9EDD8E9CEF9C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10142","KCoeus1635","10000000112","P","D9EDD8E9CEFAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10143","KCoeus1635","10000000116","P","D9EDD8E9CEFBC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10144","KCoeus1635","10000000116","P","D9EDD8E9CEFCC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10145","KCoeus1422","10010000","P","D9EDD8E9CEFDC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10146","KCoeus1422","KCoeus10002","P","D9EDD8E9CEFEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10147","KCoeus1422","KCoeus10001","P","D9EDD8E9CF00C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10148","KCoeus1611","10000000002","P","D9EDD8E9CF02C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10149","KCoeus1611","10003","P","D9EDD8E9CF05C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10150","KCoeus1610","10000000001","P","D9EDD8E9CF08C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10151","KCoeus1610","10010000","P","D9EDD8E9CF0BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10152","KCoeus1610","10006","P","D9EDD8E9CF0EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10153","KCoeus1421","10000000001","P","D9EDD8E9CF11C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10154","KCoeus1421","10005","P","D9EDD8E9CF14C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10155","KCoeus1421","KCoeus10001","P","D9EDD8E9CF17C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10156","KCoeus1622","10010000","P","D9EDD8E9CF1AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10157","KCoeus1622","KCoeus10001","P","D9EDD8E9CF1BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10159","KCoeus1432","10000000001","P","D9EDD8E9CF2EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10160","KCoeus1636","10007","P","D9EDD8E9CF37C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10161","KCoeus10000","10000000001","P","D9EDD8E9CF3AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10162","KCoeus1648","10000000001","P","D9EDD8E9CF3BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10163","KCoeus1641","10000000001","P","D9EDD8E9CF3EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10164","KCoeus1649","10008","P","D9EDD8E9CF48C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10165","KCoeus1649","10000000121","P","D9EDD8E9CF49C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10166","KCoeus1649","10000000001","P","D9EDD8E9CF4AC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10167","KCoeus1651","10000000001","P","D9EDD8E9CF4BC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10168","KCoeus1651","10000000002","P","D9EDD8E9CF4CC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10169","KCoeus1651","10000000004","P","D9EDD8E9CF4DC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10170","KCoeus1651","10000000005","P","D9EDD8E9CF4EC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10171","KCoeus1651","10000000006","P","D9EDD8E9CF4FC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10172","KCoeus1651","10000000007","P","D9EDD8E9CF50C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10173","KCoeus1651","10000000022","P","D9EDD8E9CF51C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10174","KCoeus1651","10010000","P","D9EDD8E9CF52C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus10175","KCoeus1651","KCoeus10001","P","D9EDD8E9CF53C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1284","KCoeus98","1002001","G","B6A90093AD438D60E040DC0A1F8A1D16",1,NULL,NULL
"KCoeus1287","KCoeus98","1002001","G","B6A902F82366ADC0E040DC0A1F8A1D29",1,NULL,NULL
"KCoeus1288","KCoeus99","KCoeus149","R","B6A90093AD458D60E040DC0A1F8A1D16",1,NULL,NULL
"KCoeus1289","KCoeus99","KCoeus128","R","B6A90093AD448D60E040DC0A1F8A1D16",1,NULL,NULL
"KCoeus1290","KCoeus158","KCoeus128","R","C041EF5964FD6B48E040DC0A1F8A15A8",1,NULL,NULL
"KCoeus1291","KCoeus158","KCoeus131","R","C041EF5965006B48E040DC0A1F8A15A8",1,NULL,NULL
"KCoeus1292","KCoeus177","admin","P","C041EF5966556B48E040DC0A1F8A15A8",1,NULL,NULL
"KCoeus1294","KCoeus1420","1","R","C041EF5967936B48E040DC0A1F8A15A8",1,NULL,NULL
"KCoeus1295","KCoeus1431","10000000001","P","C041EF59687D6B48E040DC0A1F8A15A8",1,NULL,NULL
"KCoeus1296","KCoeus1636","KCoeus163","R","D9EDD8E9C880C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1297","KCoeus1635","KCoeus1622","R","D9EDD8E9C8DAC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1298","KCoeus1650","KCoeus1411","R","D9EDD8E9C8DEC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1299","KCoeus1650","KCoeus1751","R","D9EDD8E9C8DFC478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1300","KCoeus1651","KCoeus1610","R","D9EDD8E9C906C478E040DC0A1F8A3320",1,NULL,NULL
"KCoeus1301","KCoeus1651","KCoeus1622","R","D9EDD8E9C907C478E040DC0A1F8A3320",1,NULL,NULL
