"GRP_MBR_ID","GRP_ID","MBR_ID","MBR_TYP_CD","OBJ_ID","VER_NBR"
"10044","10001","10000000045","P","AA51CAC0EB2E7EC0E040DC0A1F8A40D0","1"
"10045","10001","10000000046","P","AA51CAC0EB2F7EC0E040DC0A1F8A40D0","1"
"10046","10001","10000000047","P","AA51CAC0EB307EC0E040DC0A1F8A40D0","1"
"10047","10001","10000000048","P","AA51CAC0EB317EC0E040DC0A1F8A40D0","1"
"10048","10001","10000000049","P","AA51CAC0EB327EC0E040DC0A1F8A40D0","1"
"10049","10001","10000000050","P","AA51CAC0EB337EC0E040DC0A1F8A40D0","1"
"10050","10001","10000000051","P","AA51CAC0EB347EC0E040DC0A1F8A40D0","1"
"10051","10001","10000000052","P","AA51CAC0EB357EC0E040DC0A1F8A40D0","1"
"10052","10001","10000000053","P","AA51CAC0EB367EC0E040DC0A1F8A40D0","1"
"10053","10001","10000000054","P","AA51CAC0EB377EC0E040DC0A1F8A40D0","1"
"10054","10001","10000000055","P","AA51CAC0EB387EC0E040DC0A1F8A40D0","1"
"10055","10001","10000000112","P","AA51CAC0EB397EC0E040DC0A1F8A40D0","1"
"10056","10002","quickstart","P","AA51CAC0EB3A7EC0E040DC0A1F8A40D0","1"
"10057","10002","10000000046","P","AA51CAC0EB3B7EC0E040DC0A1F8A40D0","1"
"10058","10002","10000000050","P","AA51CAC0EB3C7EC0E040DC0A1F8A40D0","1"
"10059","10003","quickstart","P","AA51CAC0EB3D7EC0E040DC0A1F8A40D0","1"
"10060","10003","10000000002","P","AA51CAC0EB3E7EC0E040DC0A1F8A40D0","1"
"10061","10003","10000000004","P","AA51CAC0EB3F7EC0E040DC0A1F8A40D0","1"
"10062","10003","10000000005","P","AA51CAC0EB407EC0E040DC0A1F8A40D0","1"
"10063","10003","10000000006","P","AA51CAC0EB417EC0E040DC0A1F8A40D0","1"
"10064","10003","10000000007","P","AA51CAC0EB427EC0E040DC0A1F8A40D0","1"
"10065","10003","10000000008","P","AA51CAC0EB437EC0E040DC0A1F8A40D0","1"
"10066","10003","10000000009","P","AA51CAC0EB447EC0E040DC0A1F8A40D0","1"
"10067","10003","10000000010","P","AA51CAC0EB457EC0E040DC0A1F8A40D0","1"
"10068","10003","10000000011","P","AA51CAC0EB467EC0E040DC0A1F8A40D0","1"
"10069","10003","10000000012","P","AA51CAC0EB477EC0E040DC0A1F8A40D0","1"
"10070","10003","10000000013","P","AA51CAC0EB487EC0E040DC0A1F8A40D0","1"
"10071","10003","10000000014","P","AA51CAC0EB497EC0E040DC0A1F8A40D0","1"
"10072","10003","10000000015","P","AA51CAC0EB4A7EC0E040DC0A1F8A40D0","1"
"10073","10003","10000000016","P","AA51CAC0EB4B7EC0E040DC0A1F8A40D0","1"
"10074","10003","10000000017","P","AA51CAC0EB4C7EC0E040DC0A1F8A40D0","1"
"10075","10003","10000000018","P","AA51CAC0EB4D7EC0E040DC0A1F8A40D0","1"
"10076","10003","10000000019","P","AA51CAC0EB4E7EC0E040DC0A1F8A40D0","1"
"10077","10003","10000000020","P","AA51CAC0EB4F7EC0E040DC0A1F8A40D0","1"
"10078","10003","10000000021","P","AA51CAC0EB507EC0E040DC0A1F8A40D0","1"
"10079","10003","10000000022","P","AA51CAC0EB517EC0E040DC0A1F8A40D0","1"
"10080","10003","10000000023","P","AA51CAC0EB527EC0E040DC0A1F8A40D0","1"
"10081","10003","10000000024","P","AA51CAC0EB537EC0E040DC0A1F8A40D0","1"
"10082","10003","10000000025","P","AA51CAC0EB547EC0E040DC0A1F8A40D0","1"
"10083","10003","10000000026","P","AA51CAC0EB557EC0E040DC0A1F8A40D0","1"
"10084","10003","10000000027","P","AA51CAC0EB567EC0E040DC0A1F8A40D0","1"
"10085","10003","10000000028","P","AA51CAC0EB577EC0E040DC0A1F8A40D0","1"
"10086","10003","10000000029","P","AA51CAC0EB587EC0E040DC0A1F8A40D0","1"
"10087","10003","10000000030","P","AA51CAC0EB597EC0E040DC0A1F8A40D0","1"
"10088","10003","10000000031","P","AA51CAC0EB5A7EC0E040DC0A1F8A40D0","1"
"10089","10003","10000000032","P","AA51CAC0EB5B7EC0E040DC0A1F8A40D0","1"
"10090","10003","10000000033","P","AA51CAC0EB5C7EC0E040DC0A1F8A40D0","1"
"10091","10003","10000000034","P","AA51CAC0EB5D7EC0E040DC0A1F8A40D0","1"
"10092","10003","10000000035","P","AA51CAC0EB5E7EC0E040DC0A1F8A40D0","1"
"10093","10003","10000000036","P","AA51CAC0EB5F7EC0E040DC0A1F8A40D0","1"
"10094","10003","10000000037","P","AA51CAC0EB607EC0E040DC0A1F8A40D0","1"
"10095","10003","10000000038","P","AA51CAC0EB617EC0E040DC0A1F8A40D0","1"
"10096","10003","10000000039","P","AA51CAC0EB627EC0E040DC0A1F8A40D0","1"
"10097","10003","10000000040","P","AA51CAC0EB637EC0E040DC0A1F8A40D0","1"
"10098","10003","10000000041","P","AA51CAC0EB647EC0E040DC0A1F8A40D0","1"
"10099","10003","10000000042","P","AA51CAC0EB657EC0E040DC0A1F8A40D0","1"
"10100","10003","10000000043","P","AA51CAC0EB667EC0E040DC0A1F8A40D0","1"
"10101","10003","10000000044","P","AA51CAC0EB677EC0E040DC0A1F8A40D0","1"
"10102","10003","10000000045","P","AA51CAC0EB687EC0E040DC0A1F8A40D0","1"
"10103","10003","10000000046","P","AA51CAC0EB697EC0E040DC0A1F8A40D0","1"
"10104","10003","10000000047","P","AA51CAC0EB6A7EC0E040DC0A1F8A40D0","1"
"10105","10003","10000000048","P","AA51CAC0EB6B7EC0E040DC0A1F8A40D0","1"
"10106","10003","10000000049","P","AA51CAC0EB6C7EC0E040DC0A1F8A40D0","1"
"10107","10003","10000000050","P","AA51CAC0EB6D7EC0E040DC0A1F8A40D0","1"
"10108","10003","10000000051","P","AA51CAC0EB6E7EC0E040DC0A1F8A40D0","1"
"10109","10003","10000000052","P","AA51CAC0EB6F7EC0E040DC0A1F8A40D0","1"
"10110","10003","10000000053","P","AA51CAC0EB707EC0E040DC0A1F8A40D0","1"
"10111","10003","10000000054","P","AA51CAC0EB717EC0E040DC0A1F8A40D0","1"
"10112","10003","10000000055","P","AA51CAC0EB727EC0E040DC0A1F8A40D0","1"
"10113","10004","quickstart","P","AA51CAC0EB737EC0E040DC0A1F8A40D0","1"
"10114","10004","10000000002","P","AA51CAC0EB747EC0E040DC0A1F8A40D0","1"
"10115","10004","10000000004","P","AA51CAC0EB757EC0E040DC0A1F8A40D0","1"
"10116","10004","10000000005","P","AA51CAC0EB767EC0E040DC0A1F8A40D0","1"
"10117","10004","10000000006","P","AA51CAC0EB777EC0E040DC0A1F8A40D0","1"
"10118","10004","10000000007","P","AA51CAC0EB787EC0E040DC0A1F8A40D0","1"
"10119","10004","10000000008","P","AA51CAC0EB797EC0E040DC0A1F8A40D0","1"
"10120","10004","10000000009","P","AA51CAC0EB7A7EC0E040DC0A1F8A40D0","1"
"10121","10004","10000000010","P","AA51CAC0EB7B7EC0E040DC0A1F8A40D0","1"
"10122","10004","10000000011","P","AA51CAC0EB7C7EC0E040DC0A1F8A40D0","1"
"10123","10004","10000000012","P","AA51CAC0EB7D7EC0E040DC0A1F8A40D0","1"
"10124","10004","10000000013","P","AA51CAC0EB7E7EC0E040DC0A1F8A40D0","1"
"10125","10004","10000000014","P","AA51CAC0EB7F7EC0E040DC0A1F8A40D0","1"
"10126","10004","10000000015","P","AA51CAC0EB807EC0E040DC0A1F8A40D0","1"
"10127","10004","10000000016","P","AA51CAC0EB817EC0E040DC0A1F8A40D0","1"
"10128","10004","10000000017","P","AA51CAC0EB827EC0E040DC0A1F8A40D0","1"
"10129","10004","10000000018","P","AA51CAC0EB837EC0E040DC0A1F8A40D0","1"
"10130","10004","10000000019","P","AA51CAC0EB847EC0E040DC0A1F8A40D0","1"
"10131","10004","10000000020","P","AA51CAC0EB857EC0E040DC0A1F8A40D0","1"
"10132","10004","10000000021","P","AA51CAC0EB867EC0E040DC0A1F8A40D0","1"
"10133","10004","10000000022","P","AA51CAC0EB877EC0E040DC0A1F8A40D0","1"
"10134","10004","10000000023","P","AA51CAC0EB887EC0E040DC0A1F8A40D0","1"
"10135","10004","10000000024","P","AA51CAC0EB897EC0E040DC0A1F8A40D0","1"
"10136","10004","10000000025","P","AA51CAC0EB8A7EC0E040DC0A1F8A40D0","1"
"10137","10004","10000000026","P","AA51CAC0EB8B7EC0E040DC0A1F8A40D0","1"
"10138","10004","10000000027","P","AA51CAC0EB8C7EC0E040DC0A1F8A40D0","1"
"10139","10004","10000000028","P","AA51CAC0EB8D7EC0E040DC0A1F8A40D0","1"
"10140","10004","10000000029","P","AA51CAC0EB8E7EC0E040DC0A1F8A40D0","1"
"10141","10004","10000000030","P","AA51CAC0EB8F7EC0E040DC0A1F8A40D0","1"
"10142","10004","10000000031","P","AA51CAC0EB907EC0E040DC0A1F8A40D0","1"
"10143","10004","10000000032","P","AA51CAC0EB917EC0E040DC0A1F8A40D0","1"
"10144","10004","10000000033","P","AA51CAC0EB927EC0E040DC0A1F8A40D0","1"
"10145","10004","10000000034","P","AA51CAC0EB937EC0E040DC0A1F8A40D0","1"
"10146","10004","10000000035","P","AA51CAC0EB947EC0E040DC0A1F8A40D0","1"
"10147","10004","10000000036","P","AA51CAC0EB957EC0E040DC0A1F8A40D0","1"
"10148","10004","10000000037","P","AA51CAC0EB967EC0E040DC0A1F8A40D0","1"
"10149","10004","10000000038","P","AA51CAC0EB977EC0E040DC0A1F8A40D0","1"
"10150","10004","10000000039","P","AA51CAC0EB987EC0E040DC0A1F8A40D0","1"
"10151","10004","10000000040","P","AA51CAC0EB997EC0E040DC0A1F8A40D0","1"
"10152","10004","10000000041","P","AA51CAC0EB9A7EC0E040DC0A1F8A40D0","1"
"10153","10004","10000000042","P","AA51CAC0EB9B7EC0E040DC0A1F8A40D0","1"
"10154","10004","10000000043","P","AA51CAC0EB9C7EC0E040DC0A1F8A40D0","1"
"10155","10004","10000000044","P","AA51CAC0EB9D7EC0E040DC0A1F8A40D0","1"
"10156","10004","10000000045","P","AA51CAC0EB9E7EC0E040DC0A1F8A40D0","1"
"10157","10004","10000000046","P","AA51CAC0EB9F7EC0E040DC0A1F8A40D0","1"
"10158","10004","10000000047","P","AA51CAC0EBA07EC0E040DC0A1F8A40D0","1"
"10159","10004","10000000048","P","AA51CAC0EBA17EC0E040DC0A1F8A40D0","1"
"10160","10004","10000000049","P","AA51CAC0EBA27EC0E040DC0A1F8A40D0","1"
"10161","10004","10000000050","P","AA51CAC0EBA37EC0E040DC0A1F8A40D0","1"
"10162","10004","10000000051","P","AA51CAC0EBA47EC0E040DC0A1F8A40D0","1"
"10163","10004","10000000052","P","AA51CAC0EBA57EC0E040DC0A1F8A40D0","1"
"10164","10004","10000000053","P","AA51CAC0EBA67EC0E040DC0A1F8A40D0","1"
"10165","10004","10000000054","P","AA51CAC0EBA77EC0E040DC0A1F8A40D0","1"
"10166","10004","10000000055","P","AA51CAC0EBA87EC0E040DC0A1F8A40D0","1"
"10167","10005","10000000036","P","AA51CAC0EBA97EC0E040DC0A1F8A40D0","1"
"10168","10006","10000000036","P","AA51CAC0EBAA7EC0E040DC0A1F8A40D0","1"
"10169","10007","quickstart","P","AA51CAC0EBAB7EC0E040DC0A1F8A40D0","1"
"10170","10007","10000000112","P","AA51CAC0EBAC7EC0E040DC0A1F8A40D0","1"
"1125","10001","admin","P","AA3F29ECA87377DAE040DC0A1F8A01CC","1"
"1126","10004","1","P","AA3F2E2DAD58D111E040DC0A1F8A01E3","0"
"1127","10003","1","P","AA3F2F5F1BEE0D45E040DC0A1F8A0205","1"
