"NMSPC_CD","PARM_DTL_TYP_CD","PARM_NM","OBJ_ID","VER_NBR","PARM_TYP_CD","TXT","PARM_DESC_TXT","CONS_CD","APPL_NMSPC_CD"
"KC-AWARD","Document","AWARD_COST_SHARING","AA3F2E2DAD2FD111E040DC0A1F8A01E3","1","CONFG","009906","Numeric code from the Sponsor table that defines an award as being for Cost Sharing for sync descendants.","A","KC"
"KC-AWARD","Document","AWARD_FABRICATED_EQUIPMENT","AA3F2E2DAD30D111E040DC0A1F8A01E3","1","CONFG","2","Numeric code from Account Type table that defines an award as being for Fabricated Equipment for sync descendants.","A","KC"
"KC-AWARD","Document","CFDA_BATCH_JOB_CRON_EXPRESSION","AA3F2F5F1BD80D45E040DC0A1F8A0205","1","CONFG","0 0 6 * * ?","Parameter to set the cron expression for the CFDA batch job","A","KC"
"KC-AWARD","Document","CFDA_BATCH_JOB_CRON_START_TIME","AA3F2F5F1BDB0D45E040DC0A1F8A0205","1","CONFG","","Start time of the CFDA job","A","KC"
"KC-AWARD","Document","CFDA_BATCH_NOTIFICATION_RECIPIENT","AA3F2F5F1BDA0D45E040DC0A1F8A0205","1","CONFG","","Principal name of the person that should receive notifications when the CFDA batch job runs","A","KC"
"KC-AWARD","Document","CFDA_GOV_URL","AA3F2F5F1BD90D45E040DC0A1F8A0205","1","CONFG","ftp://ftp.cfda.gov/programs","Url of the CFDA FTP site for the CFDA batch job","A","KC"
"KC-AWARD","Document","CommentTypeHelpUrl","AA3F29ECA6F477DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/commenttype.htm","Award Comment Type Help","A","KC"
"KC-AWARD","Document","CostShareTypeHelpUrl","AA3F29ECA6F577DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/costsharingtype.htm","Award Cost Share Type Help","A","KC"
"KC-AWARD","Document","ENABLE_AWD_ANT_OBL_DIRECT_INDIRECT_COST","AA3F29ECA6F677DAE040DC0A1F8A01CC","1","CONFG","2143","obligated direct indirect cost","A","KC"
"KC-AWARD","Document","FEDERAL_SPONSOR_TYPE_CODE","AAE016CCF8AA5107E040DC0A1F8A7C64","1","CONFG","","When the sponsor or the prime sponsor has the sponsor type specified in this parameter and the KFS parameter FEDERAL_ONLY_IND is ""Y"", the Effort reporting Document is routed","A","KC"
"KC-AWARD","Document","FELLOWSHIP_OSP_ADMIN","AA3F29ECA6F777DAE040DC0A1F8A01CC","1","CONFG","qucikStart","Fellowship admin name","A","KC"
"KC-AWARD","Document","FIN_SYSTEM_INTEGRATION_ON","AA3F2F5F1BCC0D45E040DC0A1F8A0205","1","CONFG","OFF","Parameter to set the financial system integration feature ON or OFF.","A","KC"
"KC-AWARD","Document","TXN_TYPE_DEF_COPIED_AWARD","AA3F29ECA6F877DAE040DC0A1F8A01CC","1","CONFG","9","New Transaction","A","KC"
"KC-AWARD","Document","award.creditsplit.enabled","AA3F29ECA6F977DAE040DC0A1F8A01CC","1","CONFG","Y","Determines whether the Credit Split is turned on for Award","A","KC"
"KC-AWARD","Document","awardActionsHelp","AA3F29ECA6FA77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/awardactions.htm","Award Actions Help","A","KC"
"KC-AWARD","Document","awardAddFundingProposalsHelp","AAE016CCF8CA5107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/addfundingproposals.htm","Add Funding Proposals Help","A","KC"
"KC-AWARD","Document","awardApprovedEquipmentHelpUrl","AA3F29ECA6FB77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/approvedequipment.htm","Award Approved Equipment Help","A","KC"
"KC-AWARD","Document","awardApprovedForeignTravelHelpUrl","AA3F29ECA6FC77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/approvedforeigntravel.htm","Award Approved Foreign Travel Help","A","KC"
"KC-AWARD","Document","awardApprovedSubawardHelpUrl","AA3F29ECA6FD77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/approvedsubawards.htm","Award Approved Subaward Help","A","KC"
"KC-AWARD","Document","awardAttachmentsHelpUrl","AA3F29ECA6FE77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/attachments.htm","Award Attachments Help","A","KC"
"KC-AWARD","Document","awardBudgetOverviewHelp","AAE016CCF8CC5107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/budgetoverview.htm","Budget Overview Help","A","KC"
"KC-AWARD","Document","awardBudgetVersionsHelp","AAE016CCF8C35107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/budgetversions3.htm","Budget Versions Help","A","KC"
"KC-AWARD","Document","awardCloseoutHelpUrl","AA3F29ECA6FF77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/awardcloseout.htm","Award Report Term Help","A","KC"
"KC-AWARD","Document","awardCommentHelpUrl","AA3F29ECA70077DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/comments.htm","Award Comment Help","A","KC"
"KC-AWARD","Document","awardCommitmentsHelp","AA3F29ECA70177DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/commitments.htm","Award Commitments Help","A","KC"
"KC-AWARD","Document","awardContactHelpUrl","AA3F29ECA70277DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/awarddocument.htm","Award Contact Help","A","KC"
"KC-AWARD","Document","awardContactsHelp","AA3F29ECA70377DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/contacts1.htm","Award Contacts Help","A","KC"
"KC-AWARD","Document","awardCostShareHelpUrl","AA3F29ECA70477DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/costsharing2.htm","Award Cost Share Help","A","KC"
"KC-AWARD","Document","awardCurrentFundingProposalsHelp","AAE016CCF8CB5107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/currentfundingproposals.htm","Current Funding Proposals Help","A","KC"
"KC-AWARD","Document","awardCustomDataHelp","AA3F29ECA70577DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/customdata4.htm","Award Custom Data Help","A","KC"
"KC-AWARD","Document","awardCustomDataHelpUrl","AA3F29ECA70677DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/customdata5.htm","Award Custom Data Help","A","KC"
"KC-AWARD","Document","awardDetailsDatesHelp","AAE016CCF8C55107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/detailsdates.htm","Details and Dates Help","A","KC"
"KC-AWARD","Document","awardFandaRateHelpUrl","AA3F29ECA70777DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/farates.htm","Award F and A Rate Help","A","KC"
"KC-AWARD","Document","awardHelpUrl","AA3F29ECA70877DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/award.htm","Award Help","A","KC"
"KC-AWARD","Document","awardHomeHelp","AA3F29ECA70977DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/award1.htm","Award Home Help","A","KC"
"KC-AWARD","Document","awardInstitutionalAuthHelp","AAE016CCF8C25107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/institutionalauthorization.htm","Institutional Authorization Help","A","KC"
"KC-AWARD","Document","awardNoteAndAttachmentsHelp","AA3F29ECA70A77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/commentsnotesattachments.htm","Award Note and Attachments Help","A","KC"
"KC-AWARD","Document","awardNotesHelp","AAE016CCF8C65107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/notes2.htm","Notes Help","A","KC"
"KC-AWARD","Document","awardPaymentsReportsAndTermsHelp","AA3F29ECA70B77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/paymentreportsterms.htm","Award Payments Reports and Terms Help","A","KC"
"KC-AWARD","Document","awardPersonCreditSplitHelpUrl","AA3F29ECA70C77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/keypersonnelandcreditsplit.htm","Award Person Credit Split Help","A","KC"
"KC-AWARD","Document","awardQuestionsHelp","AA3F29ECA70D77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/awarddocument.htm","Award Questions Help","A","KC"
"KC-AWARD","Document","awardReportTermHelpUrl","AA3F29ECA70E77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/terms.htm","Award Report Term Help","A","KC"
"KC-AWARD","Document","awardSpecialReviewHelp","AA3F29ECA70F77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/specialreview5.htm","Award Special Review Help","A","KC"
"KC-AWARD","Document","awardSponsorAuthHelp","AAE016CCF8C15107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/sponsorauthorization.htm","Sponsor Authorization Help","A","KC"
"KC-AWARD","Document","awardSponsorTemplateHelp","AAE016CCF8C45107E040DC0A1F8A7C64","1","HELP","default.htm?turl=Documents/sponsortemplate.htm","Sponsor Template Help","A","KC"
"KC-AWARD","Document","awardTimeAndMoneyHelp","AA3F29ECA71077DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/timeandmoneysubpanel.htm","Award Time and Money Help","A","KC"
"KC-AWARD","Document","awardUncertifiedKeyPersonnel","AAE016CCF8C05107E040DC0A1F8A7C64","1","CONFG","1","Determines whether award validation behavior when the award include uncertified Key Personnel. 0 = No validation, 1 = validation with warning message, 2 = validation with error message.","A","KC"
"KC-AWARD","Document","closeoutReportTypeFinancialReport","AA3F29ECA71177DAE040DC0A1F8A01CC","1","CONFG","1","This system parameter maps the CloseoutReportType Financial Report(closeoutReoprtTypeCode=1) with ReportClass Fiscal(reportClassCode=1). If this system parameter is changed - the corresponding values in CloseoutReportType and ReportClass tables should be updated as well.","A","KC"
"KC-AWARD","Document","closeoutReportTypePatent","AA3F29ECA71277DAE040DC0A1F8A01CC","1","CONFG","3","This system parameter maps the CloseoutReportType Patent(closeoutReoprtTypeCode=3) with ReportClass Intellectual Property(reportClassCode=3). If this system parameter is changed - the corresponding values in CloseoutReportType and ReportClass tables should be updated as well.","A","KC"
"KC-AWARD","Document","closeoutReportTypeProperty","AA3F29ECA71377DAE040DC0A1F8A01CC","1","CONFG","2","This system parameter maps the CloseoutReportType Property(closeoutReoprtTypeCode=2) with ReportClass Property(reportClassCode=2). If this system parameter is changed - the corresponding values in CloseoutReportType and ReportClass tables should be updated as well.","A","KC"
"KC-AWARD","Document","closeoutReportTypeTechnical","AA3F29ECA71477DAE040DC0A1F8A01CC","1","CONFG","4","This system parameter maps the CloseoutReportType Technical(closeoutReoprtTypeCode=4) with ReportClass Technical Management(reportClassCode=4). If this system parameter is changed - the corresponding values in CloseoutReportType and ReportClass tables should be updated as well.","A","KC"
"KC-AWARD","Document","closeoutReportTypeUserDefined","AA3F29ECA71577DAE040DC0A1F8A01CC","1","CONFG","UD","User Defined Close out Report Type","A","KC"
"KC-AWARD","Document","contactTypeOther","AA3F29ECA71677DAE040DC0A1F8A01CC","1","CONFG","8","Contact Type Code For Contact Type Other","A","KC"
"KC-AWARD","Document","federalCapitalizationMinimum","AA3F29ECA71777DAE040DC0A1F8A01CC","1","CONFG","0.00","Federal Capitalization Minimum","A","KC"
"KC-AWARD","Document","institutionCapitalizationMinimum","AA3F29ECA71877DAE040DC0A1F8A01CC","1","CONFG","0.00","Institution Capitalization Minimum","A","KC"
"KC-AWARD","Document","mit.idc.validation.enabled","AA3F29ECA71977DAE040DC0A1F8A01CC","1","CONFG","1","MitIdcValidationEnabled is configurable at impl time","A","KC"
"KC-AWARD","Document","reportClassForPaymentsAndInvoices","AA3F29ECA71A77DAE040DC0A1F8A01CC","1","CONFG","6","Report Class For Payments And Invoices","A","KC"
"KC-AWARD","Document","scheduleGenerationPeriodInYearsWhenFrequencyBaseCodeIsFinalExpirationDate","AA3F29ECA71B77DAE040DC0A1F8A01CC","1","CONFG","1","Schedule Generation Period In Years When Frequency Base Code Is Final Expiration Date","A","KC"
"KC-AWARD","Document","scope.sync.COMMENTS_TAB.AwardComment.commentTypeCode","AA3F29ECA71C77DAE040DC0A1F8A01CC","1","CONFG","2,3,4,5,6","Comma delimited list of comment type codes to sync on the Comments Tab.","A","KC"
"KC-AWARD","Document","scope.sync.COST_SHARE.AwardComment.commentTypeCode","AA3F29ECA71D77DAE040DC0A1F8A01CC","1","CONFG","9","Comma delimited list of comment type codes to sync on the Cost Share Tab.","A","KC"
"KC-AWARD","Document","scope.sync.PAYMENTS_AND_INVOICES_TAB.AwardComment.commentTypeCode","AA3F29ECA71E77DAE040DC0A1F8A01CC","1","CONFG","1","Comma delimited list of comment type codes to sync on the Payments and Invoices Tab.","A","KC"
"KC-AWARD","Document","scope.sync.PAYMENTS_AND_INVOICES_TAB.AwardReportTerm.reportClassCode","AA3F29ECA71F77DAE040DC0A1F8A01CC","1","CONFG","6","Comma delimited list of reportClassCodes for reports to sync on the Reports tab.","A","KC"
"KC-AWARD","Document","scope.sync.PREAWARD_AUTHORIZATIONS_TAB.AwardComment.commentTypeCode","AA3F29ECA72077DAE040DC0A1F8A01CC","1","CONFG","18,19","Comma delimited list of comment type codes to sync on the PreAward Authorizations Tab.","A","KC"
"KC-AWARD","Document","scope.sync.RATES_TAB.AwardComment.commentTypeCode","AA3F29ECA72177DAE040DC0A1F8A01CC","1","CONFG","20","Comma delimited list of comment type codes to sync on the Rates Tab.","A","KC"
"KC-AWARD","Document","scope.sync.REPORTS_TAB.AwardReportTerm.reportClassCode","AA3F29ECA72277DAE040DC0A1F8A01CC","1","CONFG","1,2,3,4,5,7","Comma delimited list of reportClassCodes for reports to sync on the Reports Tab.","A","KC"
"KC-B","All","instituteLaRateClassTypes","AA3F29ECA72377DAE040DC0A1F8A01CC","1","CONFG","Y;L","Manages a list of Institute La rate class types.","A","KC"
"KC-B","All","instituteRateClassTypes","AA3F29ECA72477DAE040DC0A1F8A01CC","1","CONFG","E;I;O;V;X","Manages a list of Institute rate class types.","A","KC"
"KC-B","Document","AWARD_BUDGET_STATUS_IN_PROGRESS_CODE","AA3F29ECA72577DAE040DC0A1F8A01CC","1","CONFG","1","Default award budget status code","A","KC"
"KC-B","Document","AWARD_BUDGET_TYPE_NEW_PARAMETER","AA3F29ECA72677DAE040DC0A1F8A01CC","1","CONFG","1","Default award budget type code","A","KC"
"KC-B","Document","BROAD_F_AND_A","AA3F29ECA72777DAE040DC0A1F8A01CC","1","CONFG","421502","Broad F&A","A","KC"
"KC-B","Document","JOBCODE_VALIDATION_ENABLED","AA3F29ECA72877DAE040DC0A1F8A01CC","1","CONFG","Y","Whether Job code based validation is enabled","A","KC"
"KC-B","Document","SUBCONTRACTOR_F_AND_A_GT_25K","AA3F29ECA72977DAE040DC0A1F8A01CC","1","CONFG","420630","Subcontract F&A greater than 25K","A","KC"
"KC-B","Document","fnaRateClassTypeCode","AA3F29ECA75977DAE040DC0A1F8A01CC","1","CONFG","O","Rate class type code for F and A","A","KC"
"KC-B","Document","proposalBudgetStatusHelpUrl","AA3F29ECA75A77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/parameters.htm","Budget Parameters Help","A","KC"
"KC-B","Document","proposalHierarchySubProjectDirectCostElement","AA3F29ECA75B77DAE040DC0A1F8A01CC","1","CONFG","PHTD01","The Cost Element to be used for the Direct Cost sub-project summary line items in a Proposal Hierarchy budget","A","KC"
"KC-B","Document","proposalHierarchySubProjectIndirectCostElement","AA3F29ECA75C77DAE040DC0A1F8A01CC","1","CONFG","PHTID02","The Cost Element to be used for the Indirect Cost sub-project summary line items in a Proposal Hierarchy budget","A","KC"
"KC-COMMITTEE","Document","committeeActionsHelp","AA3F29ECA75D77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/actions1.htm","Committee Actions Page Help","A","KC"
"KC-COMMITTEE","Document","committeeAreaOfResearchHelpUrl","AA3F29ECA75E77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/areaofresearch1.htm","Committee Area of Research Help","A","KC"
"KC-COMMITTEE","Document","committeeBatchCorrespondenceHelpUrl","AA3F29ECA75F77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/batchcorrespondence.htm","Committee Batch Correspondence Help","A","KC"
"KC-COMMITTEE","Document","committeeCommitteeHelp","AA3F29ECA76077DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/committee1.htm","Committee Page Help","A","KC"
"KC-COMMITTEE","Document","committeeCommitteeHelpUrl","AA3F29ECA76177DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/committee2.htm","Committee Help","A","KC"
"KC-COMMITTEE","Document","committeeMembershipHelp","AA3F29ECA76277DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/members.htm","Committee Membership Page Help","A","KC"
"KC-COMMITTEE","Document","committeeMembershipHelpUrl","AA3F29ECA76377DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/memberdetailssection.htm","Committee Membership Help","A","KC"
"KC-COMMITTEE","Document","committeeScheduleHelp","AA3F29ECA76477DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/schedule.htm","Committee Schedule Page Help","A","KC"
"KC-COMMITTEE","Document","committeeScheduleHelpUrl","AA3F29ECA76577DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/schedule1.htm","Committee Schedule Help","A","KC"
"KC-COMMITTEE","Document","meetingAttendanceHelpUrl","AA3F29ECA76677DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/attendance.htm","Meeting Attendance Help","A","KC"
"KC-COMMITTEE","Document","meetingCorrespondenceHelpUrl","AA3F29ECA76777DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/correspondence.htm","Meeting Correspondence Help","A","KC"
"KC-COMMITTEE","Document","meetingDetailsHelpUrl","AA3F29ECA76877DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/meetingdetails.htm","Meeting Details Help","A","KC"
"KC-COMMITTEE","Document","meetingGenerateAgendaHelpUrl","AA3F29ECA76977DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/agenda.htm","Meeting Generate Agenda Help","A","KC"
"KC-COMMITTEE","Document","meetingGenerateMinutesHelpUrl","AA3F29ECA76A77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/minutes1.htm","Meeting Generate Minutes Help","A","KC"
"KC-COMMITTEE","Document","meetingMinutesHelpUrl","AA3F29ECA76B77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/minutes.htm","Meeting Minutes Help","A","KC"
"KC-COMMITTEE","Document","meetingOtherActionsHelpUrl","AA3F29ECA76C77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/otheractions.htm","Meeting Other Actions Help","A","KC"
"KC-COMMITTEE","Document","meetingProtocolSubmittedHelpUrl","AA3F29ECA76D77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/protocolsubmitted.htm","Meeting Protocol Submitted Help","A","KC"
"KC-GEN","A","ALLOW_PROPOSAL_PERSON_TO_OVERRIDE_KC_PERSON_EXTENDED_ATTRIBUTES","AA3F2F5F1BCB0D45E040DC0A1F8A0205","1","CONFG","Y","If Y then the proposal person citizenship type is used, if N then the kc extended attributes citizenship type is used","A","KC"
"KC-GEN","A","NON_US_CITIZEN_WITH_TEMPORARY_VISA_TYPE_CODE","AA3F2F38361BEFB5E040DC0A1F8A01FB","1","CONFG","3","Non us citizen with temporary visa","A","KC"
"KC-GEN","A","PERMANENT_RESIDENT_OF_US_PENDING","AA3F2F5F1BCA0D45E040DC0A1F8A0205","1","CONFG","4","Permanent Resident of U.S. Pending","A","KC"
"KC-GEN","A","PERMANENT_RESIDENT_OF_US_TYPE_CODE","AA3F2F38361AEFB5E040DC0A1F8A01FB","1","CONFG","2","Permanent resident of us","A","KC"
"KC-GEN","A","POST_DOCTORAL_COSTELEMENT","AA3F2F5F1BDC0D45E040DC0A1F8A0205","1","CONFG","400390","PostDoctoral CostElement","A","KC"
"KC-GEN","A","US_CITIZEN_OR_NONCITIZEN_NATIONAL_TYPE_CODE","AA3F2F383619EFB5E040DC0A1F8A01FB","1","CONFG","1","US citizen or non citizen","A","KC"
"KC-GEN","All","AUTO_GENERATE_SPONSOR_CODE","AA3F2ECC2869ADD5E040DC0A1F8A01F1","1","CONFG","Y","Determines whether or not the sponsor code on new sponsors will be auto-generated. To change the auto-generation starting value, see the database sequence SEQ_SPONSOR_CODE.","A","KC"
"KC-GEN","All","CostShareProjectPeriodNameLabel","AA3F2ECC2863ADD5E040DC0A1F8A01F1","1","CONFG","Project Period","The label of the project period field on cost share screens","A","KC"
"KC-GEN","All","KC_NOTIFICATION_CHANNEL_ID","AAE016CCF8A95107E040DC0A1F8A7C64","1","CONFG","1000","Code corresponding to KC Notification Channel","A","KC"
"KC-GEN","All","MULTI_CAMPUS_ENABLED","AA3F2F5F1BC80D45E040DC0A1F8A0205","1","CONFG","N","Enables or disables Multi-Campus mode","A","KC"
"KC-GEN","All","NORMAL_NOTIFICATION_PRIORITY_ID","AAE016CCF8A75107E040DC0A1F8A7C64","1","CONFG","1","Code corresponding to Normal Notification Priority","A","KC"
"KC-GEN","All","NSF_SPONSOR_CODE","AA3F29ECA76E77DAE040DC0A1F8A01CC","1","CONFG","000500","The sponsor code of NSF.","A","KC"
"KC-GEN","All","SIMPLE_NOTIFICATION_CONTENT_TYPE_ID","AAE016CCF8A85107E040DC0A1F8A7C64","1","CONFG","1","Code corresponding to Simple Notification Type","A","KC"
"KC-GEN","All","SPONSOR_HIERARCHY_FOR_PRINTING","AA3F2F5F1BD70D45E040DC0A1F8A0205","1","CONFG","Printing","The name of the Sponsor Hierarchy used for Sponsor Form selection.","A","KC"
"KC-GEN","All","SYSTEM_NOTIFICATION_PRODUCER_ID","AAE016CCF8A65107E040DC0A1F8A7C64","1","CONFG","1000","Code corresponding to System Notification Producer","A","KC"
"KC-GEN","All","personrole.coi","AA3F29ECA76F77DAE040DC0A1F8A01CC","1","CONFG","Co-Investigator","Description of co-investigator for NIH Proposals","A","KC"
"KC-GEN","All","personrole.kp","AA3F29ECA77077DAE040DC0A1F8A01CC","1","CONFG","Key Person","Description of key person for NIH Proposals","A","KC"
"KC-GEN","All","personrole.nih.coi","AA3F29ECA77177DAE040DC0A1F8A01CC","1","CONFG","Co-Investigator","Description of principal investigator multiple for Non-NIH Proposals","A","KC"
"KC-GEN","All","personrole.nih.coi.mpi","AA3F2ECC2864ADD5E040DC0A1F8A01F1","1","CONFG","PI/Multiple","Description of principal investigator multiple for NIH Proposals","A","KC"
"KC-GEN","All","personrole.nih.kp","AA3F29ECA77277DAE040DC0A1F8A01CC","1","CONFG","Key Person","Description of key person for Non-NIH Proposals","A","KC"
"KC-GEN","All","personrole.nih.pi","AA3F29ECA77377DAE040DC0A1F8A01CC","1","CONFG","PI/Contact","Description of principal investigator contact for Non-NIH Proposals","A","KC"
"KC-GEN","All","personrole.pi","AA3F29ECA77477DAE040DC0A1F8A01CC","1","CONFG","Principal Investigator","Description of principal investigator for NIH Proposals","A","KC"
"KC-GEN","All","personrole.readonly.roles","AA3F29ECA77577DAE040DC0A1F8A01CC","1","CONFG","KP","Proposal Person Role Id list for roles that are read-only","A","KC"
"KC-GEN","All","sponsorGroupHierarchyName","AA3F29ECA77677DAE040DC0A1F8A01CC","1","CONFG","Sponsor Groups","Sponsor Group Hierarchy Name","A","KC"
"KC-GEN","All","sponsorLevelHierarchy","AA3F29ECA77777DAE040DC0A1F8A01CC","1","CONFG","NIH","Sponsor Level Hierarchy","A","KC"
"KC-GEN","Document","permissionsHelpUrl","AA3F29ECA77877DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/permissionstab.htm","Institutional Proposal Intellectual Property Reivew Activity Help","A","KC"
"KC-GEN","DocumentType","customAttributeDocumentType","AA3F29ECA77977DAE040DC0A1F8A01CC","1","CONFG","AWRD=Award;INPR=Institutional Proposal;PRDV=Proposal Development;PROT=Protocol","List of Custom Attribute Document type name.","A","KC"
"KC-IP","Document","INSTITUTE_PROPOSAL_OTHER_GROUP","AAE016CCF8CE5107E040DC0A1F8A7C64","1","CONFG","OTHER","Other Group","A","KC"
"KC-IP","Document","InstitutionalProposalActionsHelpUrl","AA3F29ECA77A77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/institutionalproposalactions.htm","Institutional Proposal Actions Help","A","KC"
"KC-IP","Document","InstitutionalProposalConstactsHelpUrl","AA3F29ECA77B77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/contacts.htm","Institutional Proposal Contacts Help","A","KC"
"KC-IP","Document","InstitutionalProposalCustomDataHelpUrl","AA3F29ECA77C77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/customdata1.htm","Institutional Proposal Custom Data Help","A","KC"
"KC-IP","Document","InstitutionalProposalDistributionHelpUrl","AA3F29ECA77D77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/distribution.htm","Institutional Proposal Distribution Help","A","KC"
"KC-IP","Document","InstitutionalProposalHelpUrl","AA3F29ECA77E77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/institutionalproposal.htm","Institutional Proposal Help","A","KC"
"KC-IP","Document","InstitutionalProposalIPReviewHelpUrl","AA3F29ECA77F77DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/intellectualpropertyreview.htm","Institutional Proposal Intellectual Property Review Help","A","KC"
"KC-IP","Document","InstitutionalProposalSpecialReviewHelpUrl","AA3F29ECA78077DAE040DC0A1F8A01CC","1","HELP","default.htm?turl=Documents/specialreview2.htm","Institutional Proposal Special Review Help","A","KC"
