"ROLE_ID","ROLE_NM","NMSPC_CD","DESC_TXT","KIM_TYP_ID","ACTV_IND","OBJ_ID","VER_NBR"
"124","Award Documents Maintainer","KC-AWARD","Award Documents Maintainer","102","Y","AA3F29ECA85077DAE040DC0A1F8A01CC","1"
"125","Application Administrator","KC-SYS","Application Administrator","102","Y","AA3F29ECA85177DAE040DC0A1F8A01CC","1"
"126","Award Modifier","KC-AWARD","Award Modifier","102","Y","AA3F29ECA85277DAE040DC0A1F8A01CC","1"
"127","IRB Reviewer","KC-UNT","IRB Reviewer","102","Y","AA3F29ECA85377DAE040DC0A1F8A01CC","1"
"128","IRB Administrator","KC-UNT","IRB Administrator","102","Y","AA3F29ECA85477DAE040DC0A1F8A01CC","1"
"129","Protocol Creator","KC-UNT","Protocol Creator","102","Y","AA3F29ECA85577DAE040DC0A1F8A01CC","1"
"130","Proposal Submission","KC-ADM","Proposal Submission","102","Y","AA3F29ECA85677DAE040DC0A1F8A01CC","1"
"131","OSP Administrator","KC-ADM","OSP Administrator","102","Y","AA3F29ECA85777DAE040DC0A1F8A01CC","1"
"132","PI","KC-WKFLW","Proposal Primary Investigator","70","Y","AA3F29ECA85877DAE040DC0A1F8A01CC","1"
"133","COI","KC-WKFLW","Proposal Co-Investigator","71","Y","AA3F29ECA85977DAE040DC0A1F8A01CC","1"
"134","DepartmentReviewer","KC-WKFLW","Proposal Departmental Reviewer","72","Y","AA3F29ECA85A77DAE040DC0A1F8A01CC","1"
"135","CustomReviewer","KC-WKFLW","Proposal Custom Reviewer","72","Y","AA3F29ECA85B77DAE040DC0A1F8A01CC","1"
"136","KP","KC-WKFLW","Proposal Key Persons","72","Y","AA3F29ECA85C77DAE040DC0A1F8A01CC","1"
"137","Proposal Log PI","KC-IP","Derived role from PI on Proposal Log","80","Y","AA3F29ECA85D77DAE040DC0A1F8A01CC","1"
"138","Unit Administrator","KC-WKFLW","Derived role based on Unit","81","Y","AA3F29ECA85E77DAE040DC0A1F8A01CC","1"
"139","Create Temporary Proposal Log","KC-IP","Create Temporary Proposal Log","102","Y","AA3F29ECA85F77DAE040DC0A1F8A01CC","1"
"140","Create Proposal Log","KC-IP","Create Proposal Log","102","Y","AA3F29ECA86077DAE040DC0A1F8A01CC","1"
"141","Modify Proposal Log","KC-IP","Modify Proposal Log","102","Y","AA3F29ECA86177DAE040DC0A1F8A01CC","1"
"142","View Proposal Log","KC-IP","View Proposal Log","102","Y","AA3F29ECA86277DAE040DC0A1F8A01CC","1"
"143","IRB Online Reviewer","KC-PROTOCOL","Online Reviewers","82","Y","AA3F29ECA86377DAE040DC0A1F8A01CC","1"
"148","Protocol Unassigned","KC-PROTOCOL","Protocol Unassigned - no permissions","101","Y","AA3F29ECA86477DAE040DC0A1F8A01CC","1"
"149","ProtocolApprover","KC-PROTOCOL","This role exists primarily to grant implicit Cancel permission to Protocol Aggregators and Admins","83","Y","AA3F29ECA86577DAE040DC0A1F8A01CC","1"
"150","Active Committee Member","KC-PROTOCOL","Role members are derived from active committee members on the systems current date.","84","Y","AA3F29ECA86677DAE040DC0A1F8A01CC","1"
"151","Active Committee Member On Scheduled Date","KC-PROTOCOL","Role members are derived from the active committee members on a particular schedule date.","85","Y","AA3F29ECA86777DAE040DC0A1F8A01CC","1"
"153","Time And Money Viewer","KC-T","View Time And Money Document","102","Y","AA3F2ECC2851ADD5E040DC0A1F8A01F1","1"
"154","Time And Money Modifier","KC-T","Modify Time And Money Document","102","Y","AA3F2ECC2852ADD5E040DC0A1F8A01F1","1"
"155","Delete Proposal","KC-PD","Delete Proposal Permission","101","Y","AA3F2F383612EFB5E040DC0A1F8A01FB","1"
"156","Modify all Protocols","KC-UNT","Modify all Protocols","102","Y","AA3F2F5F1BED0D45E040DC0A1F8A0205","1"
"157","Funding Source Monitor","KC-UNT","Funding Source Monitor","102","Y","AA51CAC0ECC67EC0E040DC0A1F8A40D0","1"
"158","Active Committee Member On Protocol","KC-PROTOCOL","Role members are derived from active committee members on the protocol.","86","Y","AA51CAC0ECCE7EC0E040DC0A1F8A40D0","1"
"159","Maintain Questionnaire","KC-QUESTIONNAIRE","Grants the ability to maintain questionnaire.","1","Y","AA51CAC0ECD07EC0E040DC0A1F8A40D0","1"
"160","Maintain IRB Questionnaire","KC-PROTOCOL","Grants the ability to maintain irb questionnaires.","1","Y","AA51CAC0ECD37EC0E040DC0A1F8A40D0","1"
"161","Maintain Proposal Questionnaire","KC-PD","Grants the ability to maintain proposal questionnaires.","1","Y","AA51CAC0ECD77EC0E040DC0A1F8A40D0","1"
"201","Manager","KC-SYS","This role represents a collection of all the KC module manager roles and has permission to initiate simple maintenance documents.","1","Y","AA3F29ECA83677DAE040DC0A1F8A01CC","1"
"99","IRBApprover","KC-WKFLW","IRB Approver","1","Y","AA3F29ECA83777DAE040DC0A1F8A01CC","1"
